Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
1,C1,radio,radio.wav,word,uradio,uradio.wav,MS,word,1Y,Exp,1
2,C2,dao,dao.wav,word,izmerio,izmerio.wav,C,word,2Y,Exp,1
3,C3,vikao,vikao.wav,word,navikao,navikao.wav,PM,word,3Y,Exp,1
4,C4,bavio,bavio.wav,word,zabavio,zabavio.wav,PM,word,1Y,Exp,1
5,C5,rekao,rekao.wav,word,uzhivao,uzhivao.wav,C,word,2Y,Exp,1
6,C6,ishao,ishao.wav,word,obishao,obishao.wav,PM,word,3Y,Exp,1
7,C7,hteo,hteo.wav,word,prohteo,prohteo.wav,PM,word,1Y,Exp,1
8,C8,znao,znao.wav,word,saznao,saznao.wav,MS,word,2Y,Exp,1
9,C9,bacio,bacio.wav,word,objavio,objavio.wav,C,word,3Y,Exp,1
10,C10,postupio,postupio.wav,word,pio,pio.wav,P,word,1Y,Exp,1
11,C11,oshtrio,oshtrio.wav,word,uvideo,uvideo.wav,C,word,2Y,Exp,1
12,C12,sitnio,sitnio.wav,word,presitnio,presitnio.wav,MS,word,3Y,Exp,1
13,C13,sisao,sisao.wav,word,presisao,presisao.wav,M,word,1Y,Exp,1
14,C14,digao,digao.wav,word,podigao,podigao.wav,MS,word,2Y,Exp,1
15,C15,nashao,nashao.wav,word,snashao,snashao.wav,M,word,3Y,Exp,1
16,C16,kuupio,kuupio.wav,word,naterao,naterao.wav,C,word,1Y,Exp,1
17,C17,dobio,dobio.wav,word,ismejao,ismejao.wav,C,word,2Y,Exp,1
18,C18,stao,stao.wav,word,pristao,pristao.wav,M,word,3Y,Exp,1
19,C19,odao,odao.wav,word,ofarbao,ofarbao.wav,C,word,1Y,Exp,1
20,C20,krao,krao.wav,word,prenosio,prenosio.wav,C,word,2Y,Exp,1
21,C21,vratio,vratio.wav,word,povratio,povratio.wav,M,word,3Y,Exp,1
22,C22,ticao,ticao.wav,word,preticao,preticao.wav,PM,word,1Y,Exp,1
23,C23,luchio,luchio.wav,word,sanjao,sanjao.wav,C,word,2Y,Exp,1
24,C24,setjao,setjao.wav,word,prisetjao,prisetjao.wav,MS,word,3Y,Exp,1
25,C25,orao,orao.wav,word,naborao,naborao.wav,P,word,1Y,Exp,1
26,C26,umeo,umeo.wav,word,zashumeo,zashumeo.wav,P,word,2Y,Exp,1
27,C27,slao,slao.wav,word,naveslao,naveslao.wav,P,word,3Y,Exp,1
28,C28,imao,imao.wav,word,isklimao,isklimao.wav,P,word,1Y,Exp,1
29,C29,pao,pao.wav,word,dopao,dopao.wav,M,word,2Y,Exp,1
30,C30,seedeo,seedeo.wav,word,prebrisao,prebrisao.wav,C,word,3Y,Exp,1
31,F1,kestao,kestao.wav,nonword,trebao,trebao.wav,F,word,1N,Filler,1
32,F2,ispridao,ispridao.wav,nonword,video,video.wav,F,word,2N,Filler,1
33,F3,roshavao,roshavao.wav,nonword,guglovao,guglovao.wav,F,word,3N,Filler,1
34,F4,monsirao,monsirao.wav,nonword,dirao,dirao.wav,F,word,1N,Filler,1
35,F5,koristio,koristio.wav,word,kutao,kutao.wav,F,nonword,2N,Filler,1
36,F6,zheleo,zheleo.wav,word,zakevao,zakevao.wav,F,nonword,3N,Filler,1
37,F7,znachio,znachio.wav,word,ispatao,ispatao.wav,F,nonword,1N,Filler,1
38,F8,ulafao,ulafao.wav,nonword,gledao,gledao.wav,F,word,2N,Filler,1
39,F9,radovao,radovao.wav,word,trazhio,trazhio.wav,F,word,3N,Filler,1
40,F10,vedio,vedio.wav,nonword,verovao,verovao.wav,F,word,1N,Filler,1
41,F11,hvasao,hvasao.wav,nonword,pruvao,pruvao.wav,F,nonword,2N,Filler,1
42,F12,plasio,plasio.wav,nonword,doshtao,doshtao.wav,F,nonword,3N,Filler,1
43,F13,divao,divao.wav,nonword,pravio,pravio.wav,F,word,1N,Filler,1
44,F14,chekao,chekao.wav,word,nobio,nobio.wav,F,nonword,2N,Filler,1
45,F15,zatvorio,zatvorio.wav,word,pitao,pitao.wav,F,word,3N,Filler,1
46,F16,krenuo,krenuo.wav,word,govorio,govorio.wav,F,word,1N,Filler,1
47,F17,shtinio,shtinio.wav,nonword,zhiveo,zhiveo.wav,F,word,2N,Filler,1
48,F18,kamirao,kamirao.wav,nonword,delorao,delorao.wav,F,nonword,3N,Filler,1
49,F19,davao,davao.wav,word,didnuo,didnuo.wav,F,nonword,1N,Filler,1
50,F20,testipao,testipao.wav,nonword,deshavao,deshavao.wav,F,word,2N,Filler,1
51,F21,raskivuo,raskivuo.wav,nonword,nosio,nosio.wav,F,word,3N,Filler,1
52,F22,gontovao,gontovao.wav,nonword,mokao,mokao.wav,F,nonword,1N,Filler,1
53,F23,menjao,menjao.wav,word,reshio,reshio.wav,F,word,2N,Filler,1
54,F24,zatmorio,zatmorio.wav,nonword,terao,terao.wav,F,word,3N,Filler,1
55,F25,dipao,dipao.wav,nonword,ljuchio,ljuchio.wav,F,nonword,1N,Filler,1
56,F26,raspravljao,raspravljao.wav,word,tjatao,tjatao.wav,F,nonword,2N,Filler,1
57,F27,trakao,trakao.wav,nonword,gobeo,gobeo.wav,F,nonword,3N,Filler,1
58,F28,bikao,bikao.wav,nonword,takmichio,takmichio.wav,F,word,1N,Filler,1
59,F29,bresao,bresao.wav,nonword,obileo,obileo.wav,F,nonword,2N,Filler,1
60,F30,pratio,pratio.wav,word,planirao,planirao.wav,F,word,3N,Filler,1
61,F31,okratjao,okratjao.wav,nonword,javio,javio.wav,F,word,1N,Filler,1
62,F32,kupovao,kupovao.wav,word,klirnuo,klirnuo.wav,F,nonword,2N,Filler,1
63,F33,nudio,nudio.wav,word,platio,platio.wav,F,word,3N,Filler,1
64,F34,vregao,vregao.wav,nonword,platjao,platjao.wav,F,word,1N,Filler,1
65,F35,govoshio,govoshio.wav,nonword,vozio,vozio.wav,F,word,2N,Filler,1
66,F36,trogao,trogao.wav,nonword,sunio,sunio.wav,F,nonword,3N,Filler,1
67,F37,ispralio,ispralio.wav,nonword,zozao,zozao.wav,F,nonword,1N,Filler,1
68,F38,buzio,buzio.wav,nonword,falio,falio.wav,F,word,2N,Filler,1
69,F39,molio,molio.wav,word,lezhao,lezhao.wav,F,word,3N,Filler,1
70,F40,pustio,pustio.wav,word,odvonio,odvonio.wav,F,nonword,1N,Filler,1
71,F41,vredeo,vredeo.wav,word,bitao,bitao.wav,F,nonword,2N,Filler,1
72,F42,lachio,lachio.wav,nonword,prubao,prubao.wav,F,nonword,3N,Filler,1
73,F43,vekivao,vekivao.wav,nonword,delio,delio.wav,F,word,1N,Filler,1
74,F44,gitirao,gitirao.wav,nonword,felio,felio.wav,F,nonword,2N,Filler,1
75,F45,goreo,goreo.wav,word,borio,borio.wav,F,word,3N,Filler,1
76,F46,bretirao,bretirao.wav,nonword,janio,janio.wav,F,nonword,1N,Filler,1
77,F47,blesao,blesao.wav,nonword,birao,birao.wav,F,word,2N,Filler,1
78,F48,tragao,tragao.wav,word,koshtao,koshtao.wav,F,word,3N,Filler,1
79,F49,prezhio,prezhio.wav,nonword,javljao,javljao.wav,F,word,1N,Filler,1
80,F50,istrazhio,istrazhio.wav,word,trakio,trakio.wav,F,nonword,2N,Filler,1
81,F51,fermirao,fermirao.wav,nonword,valjao,valjao.wav,F,word,3N,Filler,1
82,F52,lichio,lichio.wav,word,svedomio,svedomio.wav,F,nonword,1N,Filler,1
83,F53,cemao,cemao.wav,nonword,zamatio,zamatio.wav,F,nonword,2N,Filler,1
84,F54,leveo,leveo.wav,nonword,vratjao,vratjao.wav,F,word,3N,Filler,1
85,F55,troshio,troshio.wav,word,prazhio,prazhio.wav,F,nonword,1N,Filler,1
86,F56,pazio,pazio.wav,word,pozhegao,pozhegao.wav,F,nonword,2N,Filler,1
87,F57,grujao,grujao.wav,nonword,genuo,genuo.wav,F,nonword,3N,Filler,1
88,F58,pobegao,pobegao.wav,word,chuvao,chuvao.wav,F,word,1N,Filler,1
89,F59,isplatio,isplatio.wav,word,pucao,pucao.wav,F,word,2N,Filler,1
90,F60,sprezhio,sprezhio.wav,nonword,gurnuo,gurnuo.wav,F,word,3N,Filler,1
91,F61,gario,gario.wav,nonword,isprochao,isprochao.wav,F,nonword,1N,Filler,1
92,F62,pljuvao,pljuvao.wav,word,pruzhao,pruzhao.wav,F,word,2N,Filler,1
